age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
83,M,469,Célibataire,0,false,7718 SY 10
18,M,790,En Couple,4,true,4379 JE 70
44,F,1370,Célibataire,0,false,3901 JS 25
30,M,1169,Célibataire,0,false,57 HU 14
39,F,591,En Couple,2,false,943 LF 10
24,M,1387,Célibataire,0,false,5353 CT 66
44,M,529,En Couple,4,false,962 WI 70
57,F,1215,Marié(e),3,false,981 AK 68
54,M,235,Célibataire,0,false,595 KQ 28
22,F,493,En Couple,4,false,5712 GX 79
20,F,509,Seule,3,false,8123 FE 85
28,M,408,En Couple,4,false,3912 PJ 11
26,F,157,Seule,3,false,6508 YV 52
31,Masculin,434,Célibataire,0,false,6853 TH 89
46,M,1130,En Couple,0,true,3059 QN 86
31,M,964,En Couple,4,false,1894 DS 68
31,F,449,Célibataire,0,false,5333 TX 19
35,M,562,En Couple,2,false,3832 EY 41
48,F,1162,Célibataire,0,false,8035 MW 67
51,M,1160,Célibataire,0,false,5744 EK 88
44,F,1387,Seule,3,false,3336 BC 91
80,M,170,En Couple,0,false,6077 ZA 21
24,M,572,Célibataire,0,false,9751 EQ 40
54,F,530,En Couple,3,false,1225 IQ 85
43,M,234,En Couple,1,false,5887 EE 49
60,M,1128,En Couple,3,true,3143 AO 66
66,F,581,En Couple,3,false,3609 YU 18
38,F,541,En Couple,1,true,563 XV 22
50, ,160,En Couple,0,false,4310 HL 89
39,M,529,En Couple,1,false,4711 OG 28
22,M,563,En Couple,2,false,3331 HH 52
26,M,219,Célibataire,0,false,1522 BA 23
74,F,515,En Couple,1,false,4502 MO 38
60,M,238,En Couple,3,false,720 MP 62
20,M,414,En Couple,0,false,7487 UK 73
26,F,445,En Couple,0,false,2343 JG 72
18,M,493,En Couple,0,false,8202 YV 52
32,M,403,En Couple,0,false,997 RW 26
19,F,1142,Célibataire,0,false,9194 GP 69
21,M,499,En Couple,1,false,5701 CE 78
39,F,579,Célibataire,0,false,173 ZH 44
62,M,428,En Couple,2,false,7513 GS 28
47,F,173,Célibataire,0,false,2492 BF 83
68,M,834,En Couple,4,false,2878 OD 22
19,M,489,En Couple,4,true,5065 LH 62
47,M,708,En Couple,0,true,5741 FS 28
45,F,506,Célibataire,0,false,3376 XB 53
30,M,521,En Couple,1,false,4758 AY 84
57,M,536,En Couple,2,false,4472 IP 90
24,F,911,En Couple,2,false,7492 IQ 66
22,M,1187,En Couple,0,false,8225 EP 64
28,M,1203,Seule,2,false,8333 YM 63
33,M,1160,Célibataire,0,false,6118 GG 54
80,M,249,En Couple,2,false,7169 DM 91
44,M,931,En Couple,2,false,7402 NY 37
27,M,208,En Couple,4,true,3256 AU 33
30,M,572,En Couple,0,false,9260 MH 61
46,M,482,En Couple,0,false,918 UZ 88
27,F,516,En Couple,0,false,1444 TK 76
30,M,990,Seule,3,false,8248 VD 28
26,M,419,Célibataire,0,false,5621 OH 37
72,F,1207,En Couple,3,false,4470 LI 25
21,M,484,Célibataire,0,false,2267 RY 24
46,M,480,Célibataire,0,false,3601 OU 69
62,M,1333,En Couple,2,false,8108 LB 87
27,M,494,En Couple,0,false,835 LP 91
21,F,222,En Couple,4,true,6473 DH 31
26,M,429,En Couple,0,false,1411 AK 65
82,M,423,En Couple,3,false,3723 CC 29
70,F,1060,Seule,1,false,9120 TU 98
33,M,1046,Célibataire,0,false,7160 XQ 20
47,M,223,En Couple,1,false,4435 CA 53
21,M,958,En Couple,1,true,6909 ED 61
67,M,420,Seule,1,false,3807 YU 38
29,M,823,En Couple,2,false,5731 DX 91
51,F,1207,En Couple,4,false,4066 YL 32
18,M,795,En Couple,2,false,8459 SW 91
50,M,218,En Couple,0,false,3123 JE 87
43,M,1164,En Couple,1,true,6372 UA 73
80,M,400,Célibataire,0,false,2292 KV 89
21,M,567,En Couple,1,true,6434 GF 17
42,F,483,En Couple,2,true,3886 PU 14
66,M,578,En Couple,-1,false,1254 RP 19
35,M,1020,En Couple,0,false,6873 AA 29
32,F,172,Célibataire,0,false,6970 UJ 91
24,F,1321,En Couple,1,false,4227 UK 49
79,M,216,En Couple,4,true,4467 TB 44
37,F,980,Seule,2,false,2086 WC 42
27,M,527,Célibataire,0,false,4895 MV 21
19,F,505,Célibataire,0,false,6228 BT 34
26,M,428,Célibataire,0,false,5382 UW 65
72,M,408,Célibataire,0,false,5148 SS 72
22,N/D,467,En Couple,1,true,8571 QN 30
78,M,441,En Couple,1,false,628 PU 27
25,M,403,En Couple,1,false,8826 UX 65
28,F,439,En Couple,1,false,6142 XH 88
21,F,248,Seule,3,false,8809 QS 82
40,F,1007,En Couple,4,false,293 DV 61
49,M,419,Célibataire,0,false,2440 DQ 81
52,M,969,En Couple,0,false,5967 AW 79
38,M,168,En Couple,2,false,7987 MZ 46
30,M,526,Marié(e),4,false,4538 VK 30
58,M,1382,En Couple,4,false,3276 ID 49
76,F,1233,Célibataire,0,false,9360 ZP 36
57,Homme,530,Célibataire,0,false,7635 FO 86
35,M,903,En Couple,0,true,5525 IY 73
29,F,170,En Couple,3,false,6880 MC 66
41,M,426,En Couple,1,false,1253 QA 42
35,M,996,En Couple,4,true,5845 PN 97
38,M,412,En Couple,2,false,7128 MO 46
21,F,194,Célibataire,0,false,9790 AQ 85
56,F,517,Célibataire,0,false,7632 IT 69
76,M,439,Célibataire,0,false,9298 KX 54
68,M,730,Célibataire,0,false,2839 YW 80
47,F,537,En Couple,0,true,8769 EE 10
76,M,805,En Couple,0,true,7860 BL 25
84,M,207,Célibataire,0,false,5685 EP 85
24,M,169,En Couple,4,false,1268 EA 32
53,F,451,En Couple,2,false,4099 SB 17
27,F,978,En Couple,0,true,8498 RH 97
22,M,230,En Couple,1,false,7721 LM 78
52,M,921,En Couple,3,false,3185 PQ 71
33,F,516,En Couple,1,false,8447 AD 46
36,M,593,Célibataire,0,false,1742 TX 62
50,M,418,En Couple,0,true,120 OG 37
52,M,542,En Couple,4,false,6704 DQ 69
21,F,485,En Couple,4,true,8559 DT 16
34,M,872,Célibataire,0,false,714 YA 46
63,M,452,En Couple,3,false,3132 DM 42
23,M,541,En Couple,0,false,4741 KH 90
42,F,984,En Couple,4,false,415 IG 45
62,F,981,En Couple,4,false,9944 IE 47
52,M,443,Célibataire,0,false,2561 BH 59
49,M,459,En Couple,4,false,3858 BT 84
44,M,457,En Couple,3,false,7863 OL 98
52,M,1155,Célibataire,0,false,7820 UG 37
76,F,470,En Couple,1,true,9664 XO 21
46,M,539,En Couple,4,false,8825 HP 47
44,M,469,En Couple,4,false,3556 RC 27
45,M,751,Célibataire,0,false,9510 RY 95
20,M,537,En Couple,4,false,4453 EV 60
19,F,222,Célibataire,0,false,3708 ZZ 84
54,M,159,Seule,1,false,1183 ZU 11
50,F,545,Célibataire,0,false,8731 TD 77
32,M,428,Célibataire,0,false,4088 ZG 20
26,M,562,En Couple,3,false,6447 KX 53
39,F,172,En Couple,0,false,9778 WZ 35
38,M,179,Seule,2,false,6092 WG 63
41,M,565,En Couple,4,true,775 ON 69
41,M,220,En Couple,1,false,9939 EJ 78
37,M,459,En Couple,1,false,809 NB 84
33,M,1180,En Couple,0,false,1517 VR 97
71,F,237,Célibataire,0,false,5369 QX 37
72,F,1128,Célibataire,0,false,5212 PB 95
71,M,771,En Couple,3,false,4398 HG 25
43,F,898,En Couple,4,true,7470 LM 48
38,M,456,N/D,0,false,9291 RY 76
37,F,857,En Couple,1,true,4475 WC 51
64,F,510,En Couple,3,false,8043 JP 78
44,M,573,En Couple,1,false,2308 RI 96
55,F,169,En Couple,0,false,7238 HM 70
24,M,207,Célibataire,0,false,9700 MY 74
20,F,176,En Couple,2,false,8588 XE 21
38,F,219,En Couple,0,false,544 KR 65
47,F,199,En Couple,1,false,774 GF 91
80,M,761,En Couple,0,false,1624 BU 28
24,F,?,Célibataire,0,false,8409 LL 13
28,M,503,En Couple,2,false,6581 FY 85
55,M,511,En Couple,1,false,3348 EQ 14
22,F,232,En Couple,4,false,427 AE 94
49,F,1097,En Couple,2,false,7214 HE 90
32,M,957,En Couple,3,false,4182 UT 38
75,F,417,Célibataire,0,false,6619 KG 20
39,F,509,En Couple,1,false,1022 BC 48
58,F,466,Célibataire,0,false,470 OO 84
20,M,763,Célibataire,0,false,2741 LL 74
56,M,712,Célibataire,0,false,5446 AM 29
31,F,433,En Couple,3,true,5221 CO 12
29,M,506,Célibataire,0,false,6858 ON 35
55,M,151,Célibataire,0,false,4468 GY 83
47,M,571,Célibataire,0,false,9198 EW 62
43,M,1170,Seule,1,false,2833 WR 60
67,M,466,En Couple,3,false,1142 NW 51
42,F,1224,En Couple,0,false,9014 HD 64
38,M,422,En Couple,2,false,3312 GD 26
31,M,499,En Couple,1,false,2006 OK 48
58,F,821,En Couple,0,false,6644 GY 59
37,M,246,En Couple,1,false,9581 PU 78
49,M,856,Célibataire,0,false,548 ET 35
82,M,1167,En Couple,2,false,933 BL 14
36,M,476,En Couple,0,false,4734 JO 73
21,M,234,En Couple,3,false,6301 BO 98
25,M,520,En Couple,0,false,7591 JL 59
41,M,563,En Couple,0,false,1297 WS 88
71,M,153,Célibataire,0,false,1823 UO 92
33,M,496,Célibataire,0,false,6135 XU 61
26,M,571,En Couple,1,false,5681 WK 95
64,F,997,En Couple,0,true,9165 AO 88
50,M,519,En Couple,4,false,241 FM 45
28,M,990,En Couple,0,false,1630 WW 55
20,F,534,Célibataire,0,false,3566 RO 53
52,M,1231,En Couple,4,true,4572 QO 23
28,M,435,Célibataire,0,false,3823 NW 83
51,M,471,En Couple,0,false,548 EI 53
57,M,583,En Couple,3,false,5048 AN 29
43,M,517,Seule,3,false,8287 ZE 83
59,M,906,Célibataire,0,false,5076 NZ 42
40,M,858,Marié(e),0,false,3917 DT 78
36,M,170,Célibataire,0,false,5945 ZG 58
73,F,418,Célibataire,0,false,585 WW 86
22,F,824,Célibataire,0,false,473 XL 20
26,M,1136,En Couple,2,true,8362 KN 52
45,F,403,Célibataire,0,false,5277 DR 88
19,M,434,Célibataire,0,false,8813 VX 96
58,F,1155,En Couple,2,false,5290 DD 37
20,M,722,En Couple,2,false,4798 QV 98
69,M,451,En Couple,2,true,125 KF 84
40,M,589,En Couple,2,false,3918 PO 13
30,M,1114,En Couple,3,false,5264 FA 28
49,M,947,En Couple,2,false,7515 ID 82
31,M,896,Marié(e),1,false,6357 TO 44
75,F,512,En Couple,2,false,2669 CF 74
26,Masculin,1185,Seule,2,false,3991 AX 53
27,M,217,Célibataire,0,false,1892 PW 43
64,M,717,En Couple,4,false,6221 EU 64
37,F,553,En Couple,2,false,525 KK 17
20,M,151,Marié(e),3,false,9497 US 25
22,M,211,Seule,3,false,8748 HG 45
78,F,248,En Couple,2,false,4387 AA 13
22,F,588,Célibataire,0,false,7089 UW 28
34,F,1226,Seule,2,false,848 XP 47
29,M,215,En Couple,0,false,4309 EN 94
43,F,833,Célibataire,0,false,5934 EM 46
53,F,532,En Couple,0,false,7403 PM 70
33,F,188,En Couple,0,false,8183 IM 14
40,M,1008,Seule,3,false,5505 UO 95
29,M,838,En Couple,4,false,9835 HC 97
56,M,790,En Couple,4,false,8270 AG 34
45,M,1100,Divorcée,1,false,9784 ZR 12
45,M,446,En Couple,3,false,9763 TK 73
82,F,451,Célibataire,0,false,6771 NQ 55
35,M,471,Célibataire,0,false,7372 DB 16
20,M,219,En Couple,0,false,1406 EV 61
27,M,565,Célibataire,0,false,8942 NU 32
53,F,232,Célibataire,0,false,4066 PW 54
33,M,175,Célibataire,0,false,3624 UB 38
42,M,240,En Couple,0,false,6819 TA 69
54,M,473,En Couple,1,false,8404 BE 98
30,M,177,En Couple,4,false,5457 DG 70
48,N/D,411,Célibataire,0,false,6212 DB 20
33,F,1002,En Couple,3,true,6739 JR 72
23,F,1270,Célibataire,0,false,6215 YC 84
27,M,906,En Couple,0,false,9611 FA 43
24,M,1391,Célibataire,0,false,1075 SE 96
78,F,808,En Couple,1,false,1510 PV 60
40,M,419,En Couple,1,false,8250 UK 58
38,M,447,En Couple,0,false,4107 JR 31
34,M,598,Seule,1,false,3031 AP 68
70,M,835,En Couple,0,false,9001 LF 93
71,M,161,En Couple,4,true,1168 ZT 93
25,M,556,En Couple,2,false,5067 MH 14
56,M,438,Célibataire,0,false,8723 ZJ 79
22,M,825,Célibataire,0,false,3253 HV 19
27,M,156,En Couple,2,false,1114 MU 68
69,Masculin,1211,En Couple,1,false,1125 IV 82
36,F,556,En Couple,3,false,4873 MT 23
43,M,551,En Couple,3,false,4596 RN 97
22,F,179,Célibataire,0,false,8172 SM 88
22,M,150,Célibataire,0,false,5493 GQ 76
27,F,570,Seule,1,false,6140 NR 10
28,F,403,En Couple,3,false,6467 GZ 34
46,M,174,En Couple,0,true,7176 AV 59
37,F,163,En Couple,2,false,2980 KB 44
26,M,592,En Couple,3,false,9966 ZR 45
25,F,1004,En Couple,0,false,6969 WY 17
74,M,703,En Couple,1,false,7553 CX 97
48,M,405,En Couple,0,false,5677 PQ 61
62,M,1236,Célibataire,0,false,9681 GM 79
73,M,207,En Couple,2,false,7940 RK 76
30,M,206,En Couple,2,false,8408 KU 52
52,F,422,En Couple,2,true,699 OB 98
48,M,1047,Célibataire,0,false,3449 DU 88
52,F,563,En Couple,0,false,1100 TW 28
19,M,477,En Couple,4,false,1457 GE 28
20,M,435,Célibataire,0,false,2552 SG 46
50,M,421,En Couple,1,false,1192 VP 77
39,F,191,En Couple,2,true,7772 LP 45
25,M,159,Célibataire,0,false,3358 SJ 57
42,M,1299,En Couple,1,true,6431 JO 53
68,M,446,En Couple,3,false,2560 NK 89
66,M,825,En Couple,1,false,8176 GC 86
18,F,516,En Couple,2,?,8482 LJ 19
40,F,152,Célibataire,0,false,8585 OU 64
32,M,190,En Couple,3,false,5315 QG 21
74,F,1050,En Couple,2,false,1280 TS 63
19,F,926,Célibataire,0,false,4302 ZO 83
63,M,560,En Couple,1,false,4595 BW 50
21,M,221,Célibataire,0,false,9829 HG 85
24,M,1033,En Couple,3,false,4841 GX 48
71,M,488,Célibataire,0,false,7926 JG 66
27,F,216,En Couple,4,false,9861 UD 35
31,F,814,En Couple,4,false,6552 TL 30
80,F,1119,En Couple,1,false,1108 XV 58
46,M,1251,En Couple,2,false,4940 ZT 60
45,M,571,En Couple,0,false,2283 XB 94
41,F,440,Seule,1,false,4798 TL 16
31,M,439,En Couple,2,false,732 WK 86
34,M,457,En Couple,2,false,1858 YX 96
42,M,927,Célibataire,0,false,6895 HP 13
20,F,530,En Couple,0,false,9513 RO 47
18,M,155,En Couple,1,false,7467 OJ 18
20,M,763,En Couple,0,true,8700 IK 45
53,M,979,Célibataire,0,false,6012 SQ 45
49,M,1205,En Couple,0,false,3741 YZ 63
28,M,420,En Couple,0,false,3420 KV 27
49,M,922,Célibataire,0,false,458 IW 24
31,F,219,En Couple,0,false,140 NB 65
44,F,978,En Couple,2,true,8795 YA 83
74,F,481,Marié(e),0,false,8585 FV 64
42,M,585,En Couple,4,false,3809 PF 80
22,M,458,Célibataire,0,false,5017 GM 12
24,M,948,En Couple,4,false,8855 MU 86
41,M,752,En Couple,1,false,7869 MU 85
78,M,1186,Célibataire,0,false,4226 EL 88
81,M,400,En Couple,1,false,6463 ZA 78
42,M,1179,Seule,3,false,8530 WJ 65
52,M,497,En Couple,1,false,7522 QS 82
82,Homme,484,En Couple,3,false,7217 CS 87
23,M,214,Célibataire,0,false,5495 UG 51
52,Femme,853,En Couple,0,false,3568 BI 84
40,F,753,En Couple,0,false,8836 TI 89
18,M,1174,En Couple,0,false,1358 DS 23
82,F,1305,En Couple,2,false,4780 MS 23
36,F,154,Célibataire,0,false,5203 FK 50
57,M,491,En Couple,4,false,11 QQ 68
43,M,543,En Couple,0,true,7166 PU 36
83,M,912,Célibataire,0,false,2201 JJ 24
27,M,1029,En Couple,3,true,9196 CZ 41
35,F,211,En Couple,1,false,7780 LI 21
42,M,1087,En Couple,2,false,6450 CS 73
54,M,585,En Couple,0,false,1848 YO 62
46,M,506,En Couple,2,true,15 MW 11
37,M,1120,En Couple,2,false,6904 EM 10
29,M,400,En Couple,3,false,8141 BQ 16
73,F,438,En Couple,2,false,9235 YE 97
26,M,495,En Couple,1,false,5839 TH 37
43,M,173,Célibataire,0,false,2722 AM 18
57,M,159,En Couple,0,false,8018 ZQ 91
57,M,236,En Couple,2,false,5318 IG 18
30,M,1039,En Couple,4,true,1949 NL 52
31,M,455,En Couple,0,false,2236 WJ 96
20,M,230,En Couple,3,false,6354 YK 27
51,M,585,En Couple,2,false,1834 DO 60
32,M,428,En Couple,0,false,1101 KA 43
23,M,1303,En Couple,4,true,1665 MY 14
24,F,1087,Célibataire,0,false,178 OY 91
57,M,1093,En Couple,1,false,3306 ES 47
21,M,527,Célibataire,0,false,3888 CC 48
70,M,525,Célibataire,0,false,9419 XM 90
56,M,564,Célibataire,0,false,4898 YF 75
46,M,973,Célibataire,0,false,6401 UD 16
54,M,481,En Couple,1,true,2921 IK 12
39,M,757,En Couple,3,false,8965 PJ 16
54,M,225,Célibataire,0,false,309 NT 98
58,M,1149,En Couple,2,false,2169 ZT 95
62,F,735,Seule,2,false,1324 KB 84
22,M,518,En Couple,2,false,2234 QK 79
36,M,740,En Couple,4,false,3903 AK 25
82,F,980,En Couple,1,false,5197 RR 67
27,M,502,En Couple,0,false,1177 RZ 60
38,M,1372,En Couple,2,false,8099 NM 33
41,M,211,Seule,3,false,7233 VY 38
23,F,731,Célibataire,0,false,5383 UW 63
39,M,150,En Couple,2,true,484 HQ 39
51,M,246,Célibataire,0,false,3004 XM 49
36,F,587,En Couple,2,false,4013 SB 11
23,M,1379,En Couple,2,false,1969 LB 57
82,M,1377,Célibataire,0,false,1632 ZI 88
83,M,166,En Couple,3,false,9006 OU 97
19,M,202,En Couple,2,true,3608 YN 45
65,F,224,En Couple,3,false,2390 JI 30
22,F,240,En Couple,0,false,7150 XR 93
49,F,-1,En Couple,4,false,1925 TC 77
23,M,484,En Couple,2,false,8642 CB 23
25,M,579,En Couple,4,false,7777 SP 55
26,M,499,Célibataire,0,false,417 AT 26
52,M,949,En Couple,3,false,6555 MH 92
21,M,928,En Couple,0,false,1551 KT 36
28,F,1282,Célibataire,0,false,3021 CG 30
69,M,199,Célibataire,0,false,5964 XY 92
23,M,448,En Couple,4,false,1818 LM 90
25,M,1297,En Couple,0,false,1169 YU 48
37,M,1130,Célibataire,0,false,8578 SW 57
18,F,515,En Couple,4,false,1809 XJ 92
42,F,484,Célibataire,0,false,8045 MS 13
77,Femme,232,Célibataire,0,false,3418 MQ 60
38,F,867,En Couple,0,false,237 NJ 54
54,M,433,En Couple,2,false,4771 DU 46
72,M,247,En Couple,2,false,4846 LZ 61
32,M,904,En Couple,2,false,9166 NC 11
38,M,1303,Seule,2,false,3944 YO 14
22,M,175,En Couple,2,false,5589 IY 94
48,M,237,Célibataire,0,false,889 AX 31
75,M,559,Célibataire,0,false,7565 AC 93
64,M,592,En Couple,0,false,5628 HK 37
41,M,546,Célibataire,0,false,3223 LH 69
27,F,453,En Couple,0,false,7494 AI 77
48,F,931,En Couple,2,false,2748 DD 51
52,F,528,Célibataire,0,false,4837 SS 25
29,M,214,En Couple,3,false,7695 XX 42
83,M,503,En Couple,0,true,2162 QB 34
41,M,535,En Couple,2,false,6572 YJ 66
27,M,1014,Célibataire,0,false,1341 VU 76
77,F,153,En Couple,2,false,6413 MA 18
45,M,193,Célibataire,0,false,1029 NB 77
42,M,433,En Couple,2,false,7121 EF 64
54,F,1045,En Couple,0,false,4287 UW 29
56,M,736,Célibataire,0,false,8708 RA 25
23,M,1066,En Couple,2,true,9148 RU 82
55,M,169,Célibataire,0,false,6795 EF 42
42,F,1071,Célibataire,0,false,9477 JW 14
54,M,584,En Couple,3,true,887 KE 66
38,M,457,En Couple,2,true,3056 BG 50
35,M,922,Célibataire,0,false,6543 HA 22
65,M,589,En Couple,1,false,2650 WD 57
80,M,162,Célibataire,0,false,1032 AN 76
30,F,1074,Seule,3,false,6348 UR 67
39,M,938,En Couple,0,false,4974 ZQ 80
63,M,481,Célibataire,0,false,6855 KV 47
82,F,401,Célibataire,0,false,7577 HB 71
53,M,191,Célibataire,0,false,3610 SY 90
44,M,926,En Couple,4,true,8843 SW 20
66,M,413,En Couple,2,true,6585 TQ 36
24,M,443,Célibataire,0,false,9310 OB 71
63,M,1342,En Couple,1,false,9829 ZT 82
40,M,566,En Couple,2,true,6169 QA 26
55,F,1180,En Couple,0,false,6424 CQ 78
29,F,599,Célibataire,0,false,633 PQ 50
48,M,1113,En Couple,0,true,8695 UY 63
52,F,481,En Couple,4,false,3241 DX 29
54,M,405,En Couple,1,false,1808 GG 83
28,F,180,En Couple,3,false,9676 IS 56
30,F,479,En Couple,1,false,747 DP 44
68,F,550,En Couple,1,false,4975 YL 97
81,M,1323,?,0,false,3099 UH 37
27,F,492,Seule,3,false,4234 HG 63
42,F,174,En Couple,0,false,3772 DB 66
71,M,898,En Couple,3,false,4125 JL 91
35,M,519,En Couple,4,false,4964 CG 16
51,M,892,En Couple,2,false,5749 YB 93
75,M,487,En Couple,2,false,803 HC 52
68,M,476,Seule,3,false,6438 BL 57
46,M,476,Célibataire,0,false,6244 JP 88
50,M,595,Seule,1,false,3424 VT 89
44,F,190,En Couple,0,false,3868 IV 26
48,M,239,En Couple,0,true,8955 MW 28
59,M,435,En Couple,1,false,8328 LT 43
18,Homme,1009,En Couple,0,false,7116 GU 47
54,F,1119,En Couple,0,false,5920 GX 74
24,M,489,Célibataire,0,false,2000 OG 84
23,M,449,En Couple,4,false,3880 VC 50
38,M,195,Célibataire,0,false,94 BF 97
63,M,505,Célibataire,0,false,7291 VR 74
43,F,551,En Couple,2,true,7783 EM 59
35,F,462,En Couple,4,false,8224 CY 94
76,F,560,En Couple,0,true,4695 RH 96
78,F,494,Célibataire,0,false,2807 HR 69
36,F,1052,Seule,3,false,3267 IG 20
56,M,578,En Couple,1,false,9882 XN 95
50,Femme,228,Célibataire,0,false,1354 MI 80
27,M,875,En Couple,0,false,2190 EM 40
51,M,571,En Couple,0,false,8533 CB 67
45,F,190,En Couple,4,false,3569 XY 64
