marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,catégorie
Nissan,Almera 1.8,115,moyenne,5,5,blanc,false,16450,compacte
Mini,Copper 1.6 16V,115,courte,5,5,gris,true,12740,citadine
Mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740,citadine
Mini,Copper 1.6 16V,115,courte,5,5,rouge,true,12740,citadine
Mini,Copper 1.6 16V,115,courte,5,5,noir,true,12740,citadine
Mini,Copper 1.6 16V,115,courte,5,5,blanc,true,12740,citadine
Mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200,citadine
Mini,Copper 1.6 16V,115,courte,5,5,bleu,false,18200,citadine
Mini,Copper 1.6 16V,115,courte,5,5,rouge,false,18200,citadine
Mini,Copper 1.6 16V,115,courte,5,5,noir,false,18200,citadine
Mini,Copper 1.6 16V,115,courte,5,5,blanc,false,18200,citadine
Mercedes,S500,306,très longue,5,5,noir,true,70910,berline
Mercedes,S500,306,très longue,5,5,bleu,true,70910,berline
Mercedes,S500,306,très longue,5,5,rouge,true,70910,berline
Mercedes,S500,306,très longue,5,5,blanc,true,70910,berline
Mercedes,S500,306,très longue,5,5,bleu,false,101300,berline
Mercedes,S500,306,très longue,5,5,gris,true,70910,berline
Mercedes,S500,306,très longue,5,5,noir,false,101300,berline
Mercedes,S500,306,très longue,5,5,blanc,false,101300,berline
Mercedes,S500,306,très longue,5,5,rouge,false,101300,berline
Mercedes,S500,306,très longue,5,5,gris,false,101300,berline
Mercedes,A200,136,moyenne,5,5,blanc,false,25900,polyvalente
Mercedes,A200,136,moyenne,5,5,noir,false,25900,polyvalente
Mercedes,A200,136,moyenne,5,5,blanc,true,18130,polyvalente
Mercedes,A200,136,moyenne,5,5,rouge,true,18130,polyvalente
Mercedes,A200,136,moyenne,5,5,noir,true,18130,polyvalente
Mercedes,A200,136,moyenne,5,5,rouge,false,25900,polyvalente
Mercedes,A200,136,moyenne,5,5,bleu,true,18130,polyvalente
Mercedes,A200,136,moyenne,5,5,gris,true,18130,polyvalente
Mercedes,A200,136,moyenne,5,5,gris,false,25900,polyvalente
Mercedes,A200,136,moyenne,5,5,bleu,false,25900,polyvalente
Lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,false,13500,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,true,9450,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,true,9450,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,true,9450,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,true,9450,citadine
Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450,citadine
Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990,citadine
Kia,Picanto 1.1,65,courte,5,5,gris,false,8990,citadine
Kia,Picanto 1.1,65,courte,5,5,noir,false,8990,citadine
Kia,Picanto 1.1,65,courte,5,5,rouge,false,8990,citadine
Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990,citadine
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100,berline
Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100,berline
Hyunda�,Matrix 1.6,103,longue,7,5,bleu,false,15960,monospace
Hyunda�,Matrix 1.6,103,longue,7,5,blanc,false,15960,monospace
Hyunda�,Matrix 1.6,103,longue,7,5,gris,false,15960,monospace
Hyunda�,Matrix 1.6,103,longue,7,5,noir,false,15960,monospace
Hyunda�,Matrix 1.6,103,longue,7,5,rouge,false,15960,monospace
Honda,FR-V 1.7,125,longue,7,5,noir,false,19550,monospace
Honda,FR-V 1.7,125,longue,7,5,bleu,false,19550,monospace
Honda,FR-V 1.7,125,longue,7,5,gris,false,19550,monospace
Honda,FR-V 1.7,125,longue,7,5,blanc,false,19550,monospace
Honda,FR-V 1.7,125,longue,7,5,rouge,false,19550,monospace
Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730,familiale
Ford,Mondeo 1.8,125,longue,5,5,gris,true,16730,familiale
Ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730,familiale
Ford,Mondeo 1.8,125,longue,5,5,noir,true,16730,familiale
Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730,familiale
Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900,familiale
Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900,familiale
Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900,familiale
Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900,familiale
Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900,familiale
Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346,familiale
Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346,familiale
Fiat,Croma 2.2,147,longue,5,5,rouge,true,17346,familiale
Fiat,Croma 2.2,147,longue,5,5,gris,true,17346,familiale
Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780,familiale
Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780,familiale
Fiat,Croma 2.2,147,longue,5,5,noir,true,17346,familiale
Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780,familiale
Fiat,Croma 2.2,147,longue,5,5,noir,false,24780,familiale
Fiat,Croma 2.2,147,longue,5,5,gris,false,24780,familiale
Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850,citadine
Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850,citadine
Daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850,citadine
Daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850,citadine
Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850,citadine
Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500,polyvalente
Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500,polyvalente
Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500,polyvalente
Dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500,polyvalente
Dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500,polyvalente
BMW,M5,507,très longue,5,5,bleu,true,66360,routière
BMW,M5,507,très longue,5,5,gris,false,94800,routière
BMW,M5,507,très longue,5,5,blanc,false,94800,routière
BMW,M5,507,très longue,5,5,noir,false,94800,routière
BMW,M5,507,très longue,5,5,rouge,true,66360,routière
BMW,M5,507,très longue,5,5,blanc,true,66360,routière
BMW,M5,507,très longue,5,5,bleu,false,94800,routière
BMW,M5,507,très longue,5,5,gris,true,66360,routière
BMW,M5,507,très longue,5,5,rouge,false,94800,routière
BMW,M5,507,très longue,5,5,noir,true,66360,routière
BMW,120i,150,moyenne,5,5,rouge,true,25060,compacte
BMW,120i,150,moyenne,5,5,bleu,false,35800,compacte
BMW,120i,150,moyenne,5,5,blanc,false,35800,compacte
BMW,120i,150,moyenne,5,5,gris,false,35800,compacte
BMW,120i,150,moyenne,5,5,rouge,false,35800,compacte
BMW,120i,150,moyenne,5,5,bleu,true,25060,compacte
BMW,120i,150,moyenne,5,5,gris,true,25060,compacte
BMW,120i,150,moyenne,5,5,noir,true,25060,compacte
BMW,120i,150,moyenne,5,5,blanc,true,25060,compacte
BMW,120i,150,moyenne,5,5,noir,false,35800,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,compacte
Audi,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,compacte
Audi,A2 1.4,75,courte,5,5,noir,true,12817,minispace
Audi,A2 1.4,75,courte,5,5,bleu,false,18310,minispace
Audi,A2 1.4,75,courte,5,5,gris,false,18310,minispace
Audi,A2 1.4,75,courte,5,5,bleu,true,12817,minispace
Audi,A2 1.4,75,courte,5,5,gris,true,12817,minispace
Audi,A2 1.4,75,courte,5,5,noir,false,18310,minispace
Audi,A2 1.4,75,courte,5,5,rouge,false,18310,minispace
Audi,A2 1.4,75,courte,5,5,blanc,true,12817,minispace
Audi,A2 1.4,75,courte,5,5,rouge,true,12817,minispace
Audi,A2 1.4,75,courte,5,5,blanc,false,18310,minispace
